 Family.ID Individual.ID Paternal.ID Maternal.ID Gender Phenotype Population Relationship Siblings Second.Order Third.Order Other.Comments Population_broad
1386 HG00096 HG00096 0 0 1 0 GBR unrel 0 0 0 0 Caucasian
1387 HG00097 HG00097 0 0 2 0 GBR unrel 0 0 0 0 Caucasian
1389 HG00099 HG00099 0 0 2 0 GBR unrel 0 0 0 0 Caucasian
1390 HG00100 HG00100 0 0 2 0 GBR unrel 0 0 0 0 Caucasian
1391 HG00101 HG00101 0 0 1 0 GBR unrel 0 0 0 0 Caucasian
1392 HG00102 HG00102 0 0 2 0 GBR unrel 0 0 0 0 Caucasian
1393 HG00103 HG00103 0 0 1 0 GBR unrel 0 0 0 0 Caucasian
1395 HG00105 HG00105 0 0 1 0 GBR unrel 0 0 0 0 Caucasian
1396 HG00106 HG00106 0 0 2 0 GBR unrel 0 0 0 0 Caucasian
1397 HG00107 HG00107 0 0 1 0 GBR unrel 0 0 0 0 Caucasian
1398 HG00108 HG00108 0 0 1 0 GBR unrel 0 0 0 0 Caucasian
1399 HG00109 HG00109 0 0 1 0 GBR unrel 0 0 0 0 Caucasian
1400 HG00110 HG00110 0 0 2 0 GBR unrel 0 0 0 0 Caucasian
1401 HG00111 HG00111 0 0 2 0 GBR unrel 0 0 0 0 Caucasian
1402 HG00112 HG00112 0 0 1 0 GBR unrel 0 0 0 0 Caucasian
1403 HG00113 HG00113 0 0 1 0 GBR unrel 0 0 0 0 Caucasian
1404 HG00114 HG00114 0 0 1 0 GBR unrel 0 0 0 0 Caucasian
1405 HG00115 HG00115 0 0 1 0 GBR unrel 0 0 0 0 Caucasian
1406 HG00116 HG00116 0 0 1 0 GBR unrel 0 0 0 0 Caucasian
1407 HG00117 HG00117 0 0 1 0 GBR unrel 0 0 0 0 Caucasian
1408 HG00118 HG00118 0 0 2 0 GBR unrel 0 0 0 0 Caucasian
1409 HG00119 HG00119 0 0 1 0 GBR unrel 0 HG00124 0 0 Caucasian
1410 HG00120 HG00120 0 0 2 0 GBR unrel 0 0 0 0 Caucasian
1411 HG00121 HG00121 0 0 2 0 GBR unrel 0 0 0 0 Caucasian
1412 HG00122 HG00122 0 0 2 0 GBR unrel 0 0 0 0 Caucasian
1413 HG00123 HG00123 0 0 2 0 GBR unrel 0 0 0 0 Caucasian
1415 HG00125 HG00125 0 0 2 0 GBR unrel 0 0 0 0 Caucasian
1416 HG00126 HG00126 0 0 1 0 GBR unrel 0 0 0 0 Caucasian
1417 HG00127 HG00127 0 0 2 0 GBR unrel 0 0 0 0 Caucasian
1418 HG00128 HG00128 0 0 2 0 GBR unrel 0 0 0 0 Caucasian
1419 HG00129 HG00129 0 0 1 0 GBR unrel 0 0 0 0 Caucasian
1420 HG00130 HG00130 0 0 2 0 GBR unrel 0 0 0 0 Caucasian
1421 HG00131 HG00131 0 0 1 0 GBR unrel 0 0 0 0 Caucasian
1422 HG00132 HG00132 0 0 2 0 GBR unrel 0 0 0 0 Caucasian
1423 HG00133 HG00133 0 0 2 0 GBR unrel 0 0 0 0 Caucasian
1426 HG00136 HG00136 0 0 1 0 GBR unrel 0 0 0 0 Caucasian
1427 HG00137 HG00137 0 0 2 0 GBR unrel 0 0 0 0 Caucasian
1428 HG00138 HG00138 0 0 1 0 GBR unrel 0 0 0 0 Caucasian
1429 HG00139 HG00139 0 0 1 0 GBR unrel 0 0 0 0 Caucasian
1430 HG00140 HG00140 0 0 1 0 GBR unrel 0 0 0 0 Caucasian
1431 HG00141 HG00141 0 0 1 0 GBR unrel 0 0 0 0 Caucasian
1432 HG00142 HG00142 0 0 1 0 GBR unrel 0 0 0 0 Caucasian
1433 HG00143 HG00143 0 0 1 0 GBR unrel 0 0 0 0 Caucasian
1434 HG00145 HG00145 0 0 1 0 GBR unrel 0 0 0 0 Caucasian
1380 GBR002 HG00146 0 0 2 0 GBR child HG00147 0 0 0 Caucasian
1435 HG00148 HG00148 0 0 1 0 GBR unrel 0 0 0 0 Caucasian
1436 HG00149 HG00149 0 0 1 0 GBR unrel 0 0 0 0 Caucasian
